run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad__compact_validation_fixture__baseline_current__random_cv__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,2.5686435430543497,0.0375527089927345,0.6960179170127958,0.9393554580165072,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad__compact_validation_fixture__baseline_current__random_cv__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,2.4614571273559704,0.0368236249778419,0.6828542920993641,0.9389999590348452,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-19,compact_broad__compact_validation_fixture__baseline_current__random_cv__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,19,True,2.490377248846926,0.0374667909927666,0.6957565830089152,0.9287407499505208,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::baseline_current::deterministic_info::seed-7,compact_broad__compact_validation_fixture__baseline_current__deterministic_info__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,7,True,1.911138168303296,0.0359991670120507,0.0808362079551443,0.9731534160673618,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::baseline_current::deterministic_info::seed-11,compact_broad__compact_validation_fixture__baseline_current__deterministic_info__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,11,True,1.9137195830699056,0.03812112507876,0.0821204590611159,0.9634857079945504,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::baseline_current::deterministic_info::seed-19,compact_broad__compact_validation_fixture__baseline_current__deterministic_info__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,19,True,1.909438871894963,0.0377082079648971,0.0839734999462962,0.9588470000308008,6,0.001,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::random_cv::seed-7,compact_broad__compact_validation_fixture__psychometric_default__random_cv__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,7,False,2.5311779589392245,0.0379603330511599,0.7017681249417365,0.9569117920473218,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::random_cv::seed-11,compact_broad__compact_validation_fixture__psychometric_default__random_cv__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,11,False,2.5559067099820822,0.0476919590728357,0.6988614170113578,0.9561210829997436,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::random_cv::seed-19,compact_broad__compact_validation_fixture__psychometric_default__random_cv__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,19,False,2.5543652480700985,0.0380441249581053,0.7092694580787793,0.9717190829105676,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::deterministic_info::seed-7,compact_broad__compact_validation_fixture__psychometric_default__deterministic_info__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,7,False,1.964278124156408,0.0380825829925015,0.0867359590483829,0.9787081249523908,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::deterministic_info::seed-11,compact_broad__compact_validation_fixture__psychometric_default__deterministic_info__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,11,False,1.9475653743138537,0.0379172920947894,0.0845083750318735,0.9823478329926728,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::psychometric_default::deterministic_info::seed-19,compact_broad__compact_validation_fixture__psychometric_default__deterministic_info__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,19,False,1.9621051660506057,0.0378085409756749,0.0839983749901875,0.9738861250225456,6,0.001,0.01,0.95,0.05,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::random_cv::seed-7,compact_broad__compact_validation_fixture__no_low_tail__random_cv__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,7,False,2.617079375893809,0.0388887919252738,0.7245463749859482,0.9971762499772012,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::random_cv::seed-11,compact_broad__compact_validation_fixture__no_low_tail__random_cv__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,11,False,2.612276000785642,0.040176749927923,0.7200889999512583,0.9816198750631884,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::random_cv::seed-19,compact_broad__compact_validation_fixture__no_low_tail__random_cv__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,19,False,2.603767624706961,0.0388251669937744,0.7138467909535393,1.0033614590065554,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::deterministic_info::seed-7,compact_broad__compact_validation_fixture__no_low_tail__deterministic_info__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,7,False,2.013605372980237,0.0383609579876065,0.0853749579982832,1.008318666019477,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::deterministic_info::seed-11,compact_broad__compact_validation_fixture__no_low_tail__deterministic_info__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,11,False,1.9878047488164157,0.038463499979116,0.0861476249992847,1.00975245796144,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::no_low_tail::deterministic_info::seed-19,compact_broad__compact_validation_fixture__no_low_tail__deterministic_info__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,19,False,2.051457291934639,0.0373434169450774,0.0850892920279875,1.0139912499580532,6,0.0,0.01,0.99,0.0,10,0.8
compact_broad::compact_validation_fixture::ceiling_strict::random_cv::seed-7,compact_broad__compact_validation_fixture__ceiling_strict__random_cv__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,7,False,2.623527833027765,0.0373315000906586,0.7257802080130205,1.008300208952278,6,0.001,0.01,0.95,0.0,10,0.8
compact_broad::compact_validation_fixture::ceiling_strict::random_cv::seed-11,compact_broad__compact_validation_fixture__ceiling_strict__random_cv__seed-11,compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,11,False,2.6670042920159176,0.0387602919945493,0.7269228340592235,1.0086057080188766,6,0.001,0.01,0.95,0.0,10,0.8
compact_broad::compact_validation_fixture::ceiling_strict::random_cv::seed-19,compact_broad__compact_validation_fixture__ceiling_strict__random_cv__seed-19,compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,19,False,2.6356148339109495,0.0377828329801559,0.7199144159676507,1.0183331250445915,6,0.001,0.01,0.95,0.0,10,0.8
compact_broad::compact_validation_fixture::ceiling_strict::deterministic_info::seed-7,compact_broad__compact_validation_fixture__ceiling_strict__deterministic_info__seed-7,compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,7,False,2.0549699168186635,0.0377945000072941,0.084695916972123,1.0410479999845847,6,0.001,0.01,0.95,0.0,10,0.8
