run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
compact_validation::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_validation__compact_validation_fixture__baseline_current__random_cv__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,7,True,2.7473569991998374,0.0396882919594645,0.7184872090583667,0.9755954589927568,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_validation__compact_validation_fixture__baseline_current__random_cv__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,11,True,2.5801963770063594,0.0365338339470326,0.7166909170337021,0.9809113750234246,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::baseline_current::random_cv::seed-19,compact_validation__compact_validation_fixture__baseline_current__random_cv__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,19,True,2.6057692487956956,0.0377594580641016,0.7208244589855894,0.9917082079919056,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-7,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,2.610616293270141,0.0380040840245783,0.7220862089889124,0.9792667920701206,6,0.0,0.0,0.99,0.0,10,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-11,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,2.6135191252687946,0.0396435420261696,0.7187505830079317,0.9739635000005364,6,0.0,0.0,0.99,0.0,10,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-19,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,2.6459415829740465,0.0374263749690726,0.7222010419936851,0.9953070409828796,6,0.0,0.0,0.99,0.0,10,0.7
compact_validation::compact_validation_fixture::baseline_current::deterministic_info::seed-7,compact_validation__compact_validation_fixture__baseline_current__deterministic_info__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,2.011812206241302,0.0405865410575643,0.0896819159388542,1.012329624965787,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::baseline_current::deterministic_info::seed-11,compact_validation__compact_validation_fixture__baseline_current__deterministic_info__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,11,True,2.0240346651989967,0.0374685409478843,0.0849971250863745,1.018384583061561,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::baseline_current::deterministic_info::seed-19,compact_validation__compact_validation_fixture__baseline_current__deterministic_info__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,19,True,1.9925855409819633,0.0375982079422101,0.0854159999871626,1.0134352500317618,6,0.001,0.01,0.99,0.0,10,0.8
compact_validation::compact_validation_fixture::reconstruction_relaxed::deterministic_info::seed-7,compact_validation__compact_validation_fixture__reconstruction_relaxed__deterministic_info__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,7,False,2.049905499909073,0.0382698749890551,0.0851514589739963,1.0307657080702484,6,0.0,0.0,0.99,0.0,10,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::deterministic_info::seed-11,compact_validation__compact_validation_fixture__reconstruction_relaxed__deterministic_info__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,11,False,2.000193750835024,0.0387607499724254,0.0885007920442149,1.0094108750345183,6,0.0,0.0,0.99,0.0,10,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::deterministic_info::seed-19,compact_validation__compact_validation_fixture__reconstruction_relaxed__deterministic_info__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,19,False,2.052369125885889,0.0393946670228615,0.0878397499909624,1.0343049579532817,6,0.0,0.0,0.99,0.0,10,0.7
synthetic_generalization::synthetic_dense_overlap::baseline_current::random_cv::seed-7,synthetic_generalization__synthetic_dense_overlap__baseline_current__random_cv__seed-7,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,7,True,10.718593209981918,1.2135642500361428,2.286330666975118,0.9529835829744115,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::baseline_current::random_cv::seed-11,synthetic_generalization__synthetic_dense_overlap__baseline_current__random_cv__seed-11,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,11,True,10.484533207141794,1.2471871670568362,2.269072375027463,0.9583059580763802,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::baseline_current::random_cv::seed-19,synthetic_generalization__synthetic_dense_overlap__baseline_current__random_cv__seed-19,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,19,True,10.389282957999969,1.2226655000122264,2.310686666984111,0.9648631250020115,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::random_cv::seed-7,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__random_cv__seed-7,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,10.771406874991952,1.2333816669415685,2.2955140410922468,0.9408945409813896,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::random_cv::seed-11,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__random_cv__seed-11,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,10.685072625987232,1.2356176250614226,2.286996916984208,0.9316657920135184,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::random_cv::seed-19,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__random_cv__seed-19,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,10.744685209705494,1.2563101669074968,2.311167167034,0.9253916250308976,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::baseline_current::deterministic_info::seed-7,synthetic_generalization__synthetic_dense_overlap__baseline_current__deterministic_info__seed-7,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,9.687472957652062,1.2537346669705585,0.3296266249381006,0.9173857499845326,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::baseline_current::deterministic_info::seed-11,synthetic_generalization__synthetic_dense_overlap__baseline_current__deterministic_info__seed-11,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,11,True,9.717011667788029,1.2463665419491008,0.3257892089895904,0.944091000012122,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::baseline_current::deterministic_info::seed-19,synthetic_generalization__synthetic_dense_overlap__baseline_current__deterministic_info__seed-19,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,19,True,9.689719040994532,1.2520866659469905,0.3151237920392304,0.9527257080189884,17,0.001,0.01,0.95,0.05,60,0.8
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::deterministic_info::seed-7,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__deterministic_info__seed-7,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,7,False,9.634560916223563,1.2211405829293651,0.3138743750751018,0.9421842920128256,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::deterministic_info::seed-11,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__deterministic_info__seed-11,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,11,False,9.596161582972854,1.2293739579617975,0.310983125003986,0.9531472909729928,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::reconstruction_relaxed::deterministic_info::seed-19,synthetic_generalization__synthetic_dense_overlap__reconstruction_relaxed__deterministic_info__seed-19,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,19,False,9.63820108503569,1.2208877080120146,0.3172413340071216,0.9497552500106394,17,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization::synthetic_dense_overlap::minimal_cleaning::deterministic_info::seed-7,synthetic_generalization__synthetic_dense_overlap__minimal_cleaning__deterministic_info__seed-7,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,7,False,9.656864707008936,1.2235840830253435,0.3148589589400217,0.9483699580887331,17,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization::synthetic_dense_overlap::minimal_cleaning::deterministic_info::seed-11,synthetic_generalization__synthetic_dense_overlap__minimal_cleaning__deterministic_info__seed-11,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,11,False,9.631320999120362,1.230208499939181,0.3128715420607477,0.962373291957192,17,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization::synthetic_dense_overlap::minimal_cleaning::deterministic_info::seed-19,synthetic_generalization__synthetic_dense_overlap__minimal_cleaning__deterministic_info__seed-19,synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,19,False,9.659704790916294,1.224108750000596,0.3127955420641228,0.9482100409222768,17,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization::synthetic_sparse_overlap::baseline_current::random_cv::seed-7,synthetic_generalization__synthetic_sparse_overlap__baseline_current__random_cv__seed-7,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,7,True,9.893775835749691,1.1145449999021366,2.3075266249943525,1.0341967080021277,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::baseline_current::random_cv::seed-11,synthetic_generalization__synthetic_sparse_overlap__baseline_current__random_cv__seed-11,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,11,True,9.880880125099791,1.134144749958068,2.3135308750206605,1.0289023329969496,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::baseline_current::random_cv::seed-19,synthetic_generalization__synthetic_sparse_overlap__baseline_current__random_cv__seed-19,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,19,True,9.80204258474987,1.1267185830511153,2.3285148749127984,1.020234333933331,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::random_cv::seed-7,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__random_cv__seed-7,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,9.851079249638133,1.1201046250062063,2.318985666963272,1.0506381249288097,47,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::random_cv::seed-11,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__random_cv__seed-11,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,9.906634289887734,1.116121624945663,2.312894249917008,1.0378753750119358,47,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::random_cv::seed-19,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__random_cv__seed-19,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,10.035341124166736,1.1174043340142816,2.327319790958427,1.0448664590949193,47,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization::synthetic_sparse_overlap::baseline_current::deterministic_info::seed-7,synthetic_generalization__synthetic_sparse_overlap__baseline_current__deterministic_info__seed-7,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,8.416436582920142,1.1294772919500249,0.3063683330547064,1.0634443750604987,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::baseline_current::deterministic_info::seed-11,synthetic_generalization__synthetic_sparse_overlap__baseline_current__deterministic_info__seed-11,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,11,True,8.484075249871239,1.1207517909351736,0.304215042036958,1.0671727920416745,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::baseline_current::deterministic_info::seed-19,synthetic_generalization__synthetic_sparse_overlap__baseline_current__deterministic_info__seed-19,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,19,True,8.455437833094038,1.1032650830456987,0.3183981659822166,1.1009922500234095,47,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::deterministic_info::seed-7,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__deterministic_info__seed-7,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,7,False,8.49705770786386,1.098486667033285,0.3007798750186339,1.0965603749500588,47,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::deterministic_info::seed-11,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__deterministic_info__seed-11,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,11,False,8.51946249930188,1.100426167016849,0.299566833069548,1.0869569580536336,47,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization::synthetic_sparse_overlap::reconstruction_relaxed::deterministic_info::seed-19,synthetic_generalization__synthetic_sparse_overlap__reconstruction_relaxed__deterministic_info__seed-19,synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,19,False,8.462686335202307,1.1160688339732587,0.304926999961026,1.11041095899418,47,0.0,0.0,0.99,0.0,40,0.7
