run_signature,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,benchmark_id,selection_stage,selected_items,selected_item_count
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b1,preselect,"[""b1_item_2"", ""b1_item_3"", ""b1_item_4"", ""b1_item_5""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b2,preselect,"[""b2_item_3"", ""b2_item_5"", ""b2_item_6"", ""b2_item_7""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b3,preselect,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_6""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b1,final,"[""b1_item_2"", ""b1_item_3"", ""b1_item_5""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b2,final,"[""b2_item_3"", ""b2_item_6"", ""b2_item_7""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-7,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,b3,final,"[""b3_item_1"", ""b3_item_5"", ""b3_item_6""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b1,preselect,"[""b1_item_1"", ""b1_item_3"", ""b1_item_6"", ""b1_item_7""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b2,preselect,"[""b2_item_3"", ""b2_item_4"", ""b2_item_5"", ""b2_item_7""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b3,preselect,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_6""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b1,final,"[""b1_item_1"", ""b1_item_3"", ""b1_item_7""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b2,final,"[""b2_item_3"", ""b2_item_4"", ""b2_item_7""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-11,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,b3,final,"[""b3_item_4"", ""b3_item_5"", ""b3_item_6""]",3
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-19,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,19,True,b1,preselect,"[""b1_item_1"", ""b1_item_2"", ""b1_item_5"", ""b1_item_6""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-19,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,19,True,b2,preselect,"[""b2_item_3"", ""b2_item_4"", ""b2_item_6"", ""b2_item_7""]",4
compact_broad::compact_validation_fixture::baseline_current::random_cv::seed-19,compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,19,True,b3,preselect,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_7""]",4
