search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,7,True,0.001,0.01,0.95,0.05,50,0.8
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,11,True,0.001,0.01,0.95,0.05,50,0.8
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,19,True,0.001,0.01,0.95,0.05,50,0.8
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,7,False,0.0,0.0,0.99,0.0,50,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,11,False,0.0,0.0,0.99,0.0,50,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,19,False,0.0,0.0,0.99,0.0,50,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,7,False,0.0,0.0,1.0,0.0,1,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,11,False,0.0,0.0,1.0,0.0,1,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,19,False,0.0,0.0,1.0,0.0,1,0.7
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,7,False,0.0,0.01,0.95,0.05,50,0.8
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,11,False,0.0,0.01,0.95,0.05,50,0.8
large_confirmation,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,19,False,0.0,0.01,0.95,0.05,50,0.8
